Technique:TF 1-gram    , Stem:True, Stop:True, Accuracy:0.8672985781990521
Technique:TF 1-gram    , Stem:True, Stop:True, Accuracy:0.8546603475513428
Technique:TF-IDF 1-gram, Stem:True, Stop:True, Accuracy:0.8775671406003159
Technique:TF 2-gram    , Stem:True, Stop:True, Accuracy:0.8704581358609794
Technique:TF-IDF 2-gram, Stem:True, Stop:True, Accuracy:0.872827804107425
Technique:TF 4-gram    , Stem:True, Stop:True, Accuracy:0.811216429699842
Technique:TF-IDF 4-gram, Stem:True, Stop:True, Accuracy:0.7053712480252765
Technique: TF-IDF 4-gram, Stem:False, Stop:False, Accuracy:0.7851500789889415, Precision:[0.84971098 0.74029451], Recall:[0.69448819 0.87638669], Fscore:[0.76429809 0.80261248]
Technique: TF-IDF 1to4-gram, Stem:True, Stop:True, Lower:0 Accuracy:0.8783570300157978, Precision:[0.86432927 0.89344262], Recall:[0.8971519  0.85962145], Fscore:[0.88043478 0.87620579]
Technique: TF-IDF 1to4-gram, Stem:True, Stop:True, Lower:1 Accuracy:0.8665086887835703, Precision:[0.85128983 0.8830313 ], Recall:[0.88765823 0.84542587], Fscore:[0.86909373 0.8638195 ]
Technique: TF-IDF 1to4-gram, Stem:True, Stop:True, Lower:2 Accuracy:0.8665086887835703, Precision:[0.85128983 0.8830313 ], Recall:[0.88765823 0.84542587], Fscore:[0.86909373 0.8638195 ]
Technique: TF-IDF 1to4-gram, Stem:False, Stop:True, Lower:0 Accuracy:0.8775671406003159, Precision:[0.8630137  0.89326765], Recall:[0.8971519  0.85804416], Fscore:[0.87975175 0.87530169]
Technique: TF-IDF 1to4-gram, Stem:False, Stop:True, Lower:1 Accuracy:0.8720379146919431, Precision:[0.85714286 0.88815789], Recall:[0.89240506 0.85173502], Fscore:[0.8744186  0.86956522]
Technique: TF-IDF 1to4-gram, Stem:False, Stop:True, Lower:2 Accuracy:0.8720379146919431, Precision:[0.85714286 0.88815789], Recall:[0.89240506 0.85173502], Fscore:[0.8744186  0.86956522]
Technique: TF-IDF 1to4-gram, Stem:True, Stop:False, Lower:0 Accuracy:0.8744075829383886, Precision:[0.85779123 0.89256198], Recall:[0.8971519  0.85173502], Fscore:[0.87703016 0.8716707 ]
Technique: TF-IDF 1to4-gram, Stem:True, Stop:False, Lower:1 Accuracy:0.8744075829383886, Precision:[0.85779123 0.89256198], Recall:[0.8971519  0.85173502], Fscore:[0.87703016 0.8716707 ]
Technique: TF-IDF 1to4-gram, Stem:True, Stop:False, Lower:2 Accuracy:0.8744075829383886, Precision:[0.85779123 0.89256198], Recall:[0.8971519  0.85173502], Fscore:[0.87703016 0.8716707 ]
Technique: TF-IDF 1to4-gram, Stem:False, Stop:False, Lower:0 Accuracy:0.8783570300157978, Precision:[0.86322188 0.89473684], Recall:[0.89873418 0.85804416], Fscore:[0.88062016 0.87600644]
Technique: TF-IDF 1to4-gram, Stem:False, Stop:False, Lower:1 Accuracy:0.8783570300157978, Precision:[0.86322188 0.89473684], Recall:[0.89873418 0.85804416], Fscore:[0.88062016 0.87600644]
Technique: TF-IDF 1to4-gram, Stem:False, Stop:False, Lower:2 Accuracy:0.8783570300157978, Precision:[0.86322188 0.89473684], Recall:[0.89873418 0.85804416], Fscore:[0.88062016 0.87600644]
Technique: TF-IDF 1to4-gram, Stem:True, Stop:True, Lower:True Accuracy:0.8665086887835703, Precision:[0.85128983 0.8830313 ], Recall:[0.88765823 0.84542587], Fscore:[0.86909373 0.8638195 ]
Technique: TF-IDF 1to4-gram, Stem:True, Stop:True, Lower:True Accuracy:0.8838862559241706, Precision:[0.8410104  0.93254637], Recall:[0.9339934  0.83787879], Fscore:[0.88506646 0.88268156]
Technique: TF-IDF 1to4-gram, Stem:True, Stop:True, Lower:True Accuracy:0.8759873617693523, Precision:[0.85459941 0.90033784], Recall:[0.90708661 0.84469097], Fscore:[0.88006112 0.87162715]
Technique: TF 1to4-gram    , Stem:True, Stop:True, Lower:True Accuracy:0.8609794628751974, Precision:[0.85294118 0.86935484], Recall:[0.87183544 0.85015773], Fscore:[0.86228482 0.85964912]
Technique: TF 1to4-gram    , Stem:True, Stop:True, Lower:True Accuracy:0.8807266982622433, Precision:[0.84946237 0.91382114], Recall:[0.91254125 0.85151515], Fscore:[0.87987271 0.88156863]
Technique: TF 1to4-gram    , Stem:True, Stop:True, Lower:True Accuracy:0.868088467614534, Precision:[0.8556231  0.88157895], Recall:[0.88661417 0.84944532], Fscore:[0.870843   0.86521388]
Technique: TF-IDF 1to4-gram, Stem:False, Stop:True, Lower:True Accuracy:0.8720379146919431, Precision:[0.85714286 0.88815789], Recall:[0.89240506 0.85173502], Fscore:[0.8744186  0.86956522]
Technique: TF-IDF 1to4-gram, Stem:False, Stop:True, Lower:True Accuracy:0.8767772511848341, Precision:[0.83382789 0.92567568], Recall:[0.92739274 0.83030303], Fscore:[0.878125   0.87539936]
Technique: TF-IDF 1to4-gram, Stem:False, Stop:True, Lower:True Accuracy:0.8807266982622433, Precision:[0.86227545 0.90133779], Recall:[0.90708661 0.85419968], Fscore:[0.88411358 0.87713588]
Technique: TF 1to4-gram    , Stem:False, Stop:True, Lower:True Accuracy:0.8625592417061612, Precision:[0.85230769 0.87337662], Recall:[0.87658228 0.84858044], Fscore:[0.86427457 0.8608    ]
Technique: TF 1to4-gram    , Stem:False, Stop:True, Lower:True Accuracy:0.8720379146919431, Precision:[0.83738602 0.90953947], Recall:[0.90924092 0.83787879], Fscore:[0.87183544 0.87223975]
Technique: TF 1to4-gram    , Stem:False, Stop:True, Lower:True Accuracy:0.8736176935229067, Precision:[0.86149163 0.88669951], Recall:[0.89133858 0.85578447], Fscore:[0.87616099 0.87096774]
Technique: TF-IDF 1to4-gram, Stem:True, Stop:False, Lower:True Accuracy:0.8744075829383886, Precision:[0.85779123 0.89256198], Recall:[0.8971519  0.85173502], Fscore:[0.87703016 0.8716707 ]
Technique: TF-IDF 1to4-gram, Stem:True, Stop:False, Lower:True Accuracy:0.872827804107425, Precision:[0.83358321 0.91652755], Recall:[0.91749175 0.83181818], Fscore:[0.8735271  0.87212073]
Technique: TF-IDF 1to4-gram, Stem:True, Stop:False, Lower:True Accuracy:0.8712480252764613, Precision:[0.85014837 0.89527027], Recall:[0.9023622  0.83993661], Fscore:[0.87547746 0.86672118]
Technique: TF 1to4-gram    , Stem:True, Stop:False, Lower:True Accuracy:0.8530805687203792, Precision:[0.85623003 0.85      ], Recall:[0.84810127 0.85804416], Fscore:[0.85214626 0.85400314]
Technique: TF 1to4-gram    , Stem:True, Stop:False, Lower:True Accuracy:0.8562401263823065, Precision:[0.82919255 0.88424437], Recall:[0.88118812 0.83333333], Fscore:[0.8544     0.85803432]
Technique: TF 1to4-gram    , Stem:True, Stop:False, Lower:True Accuracy:0.839652448657188, Precision:[0.83333333 0.84627832], Recall:[0.8503937  0.82884311], Fscore:[0.84177708 0.83746998]
Technique: TF-IDF 1to4-gram, Stem:False, Stop:False, Lower:True Accuracy:0.8783570300157978, Precision:[0.86322188 0.89473684], Recall:[0.89873418 0.85804416], Fscore:[0.88062016 0.87600644]
Technique: TF-IDF 1to4-gram, Stem:False, Stop:False, Lower:True Accuracy:0.8807266982622433, Precision:[0.84210526 0.9234609 ], Recall:[0.92409241 0.84090909], Fscore:[0.88119591 0.88025377]
Technique: TF-IDF 1to4-gram, Stem:False, Stop:False, Lower:True Accuracy:0.8791469194312796, Precision:[0.85970149 0.90100671], Recall:[0.90708661 0.85103011], Fscore:[0.88275862 0.87530562]
Technique: TF 1to4-gram    , Stem:False, Stop:False, Lower:True Accuracy:0.8507109004739336, Precision:[0.85326954 0.84820031], Recall:[0.84651899 0.85488959], Fscore:[0.84988086 0.85153181]
Technique: TF 1to4-gram    , Stem:False, Stop:False, Lower:True Accuracy:0.8617693522906793, Precision:[0.83830455 0.88553259], Recall:[0.88118812 0.84393939], Fscore:[0.85921158 0.86423584]
Technique: TF 1to4-gram    , Stem:False, Stop:False, Lower:True Accuracy:0.839652448657188, Precision:[0.84069401 0.83860759], Recall:[0.83937008 0.83993661], Fscore:[0.84003152 0.83927158]
Technique: TF-IDF 1-gram, Stem:True, Stop:True, Lower:False Accuracy:0.8641390205371248, Precision:[0.85714286 0.87138264], Recall:[0.87341772 0.85488959], Fscore:[0.86520376 0.86305732]
Technique: TF-IDF 1-gram, Stem:True, Stop:True, Lower:False Accuracy:0.8791469194312796, Precision:[0.84792627 0.91219512], Recall:[0.91089109 0.85      ], Fscore:[0.87828162 0.88      ]
Technique: TF-IDF 1-gram, Stem:True, Stop:True, Lower:False Accuracy:0.8854660347551343, Precision:[0.87461774 0.89705882], Recall:[0.9007874  0.87004754], Fscore:[0.8875097  0.88334674]
